token	category	subcategory	neckline	sleeve	length	volume	pattern	decoration	material_appearance	evidence
g0178	bottom	trousers	unknown	unknown	ankle	straight	solid	low	woven	蓝灰直线及踝裤，低装饰
g0188	skirt	wrap_skirt	unknown	unknown	midi	fluid	solid	medium	satin_like	米白缎感裹裙，斜向垂褶，有光泽但成分未知
g0193	skirt	pencil_skirt	unknown	unknown	midi	straight	solid	low	woven	灰褐直筒中长裙，正面开衩
g0209	skirt	tiered_skirt	unknown	unknown	midi	aline	solid	medium	fluid	米白层叠中长裙，分层褶量明显
g0222	dress	shirt_dress	point_collar	long	midi	straight	solid	low	woven	炭灰长袖系腰衬衫裙，扣门襟与腰带完整
g0225	dress	straight_dress	crew	short	midi	straight	solid	low	woven	灰褐圆领短袖直身裙，收腰很克制
g0237	dress	straight_dress	crew	sleeveless	midi	straight	solid	low	knit_like	灰褐无袖圆领直身长裙，表面细纹理
g0252	shoes	loafers	unknown	unknown	unknown	unknown	solid	low	smooth	奶油白低跟乐福鞋，成双完整
g0254	shoes	mary_jane	unknown	unknown	unknown	unknown	solid	low	smooth	黑色圆头单袢玛丽珍平底鞋
g0257	shoes	knee_boots	unknown	unknown	knee	straight	solid	low	smooth	灰褐圆头低跟长靴，有侧拉链
g0258	shoes	loafers	unknown	unknown	unknown	unknown	solid	low	smooth	浅蓝方圆头乐福鞋，低跟低装饰
g0259	shoes	ankle_boots	unknown	unknown	ankle	structured	solid	low	smooth	灰褐方头粗跟短靴，结构清楚
g0268	shoes	slingbacks	unknown	unknown	unknown	unknown	solid	low	smooth	奶油白后空小粗跟鞋，脚背有细带
g0269	shoes	knee_boots	unknown	unknown	knee	straight	solid	low	smooth	灰褐长筒靴，低跟圆头，筒型简洁
g0270	bag	shoulder_bag	unknown	unknown	unknown	soft	solid	low	smooth	黑色腋下包，单肩带、短横向包身
g0274	bag	messenger	unknown	unknown	unknown	soft	solid	low	woven	浅蓝宽肩带翻盖包，日常休闲语汇
g0275	bag	drawstring_bag	unknown	unknown	unknown	soft	solid	low	smooth	藏蓝抽绳肩包，软褶包口
g0285	bag	shoulder_bag	unknown	unknown	unknown	soft	solid	low	smooth	米白短横向腋下包，柔软圆弧底
g0289	bag	shoulder_bag	unknown	unknown	unknown	soft	solid	low	smooth	米白肩包，清楚分片与长肩带
g0290	bag	tote	unknown	unknown	unknown	structured	solid	low	smooth	浅蓝直立托特，双提手完整
g0317	accessory	necklace	unknown	unknown	unknown	unknown	solid	low	metallic	银色细链圆环吊坠，装饰轻量
g0318	accessory	brooch	unknown	unknown	unknown	unknown	solid	medium	metallic	深灰银色花形胸针，带圆珠细节
g0321	top	draped_blouse	crew	long	regular	loose	solid	medium	fluid	黑色侧垂褶长袖上衣，宽衣身、有不对称下摆
g0337	top	knit_top	crew	long	regular	fitted	solid	low	knit	黑色修身圆领长袖针织，上身轮廓收净
g0401	bottom	jeans	unknown	unknown	long	wide	washed	low	denim_like	深灰洗水宽腿牛仔，裤身无额外荷叶或拼片
g0402	bottom	trousers	unknown	unknown	long	straight	solid	low	fluid	浅蓝柔垂长西裤，轻微扩脚而非夸张多层
g0413	bottom	jeans	unknown	unknown	long	barrel	washed	medium	denim_like	中蓝弧线宽腿牛仔，弧形分割缝可见
g0433	skirt	pencil_skirt	unknown	unknown	midi	straight	solid	low	woven	炭灰直线半裙，清楚腰头，装饰少
g0482	shoes	mary_jane	unknown	unknown	unknown	unknown	solid	medium	translucent_like	冰蓝玛丽珍，交叉鞋面层有半透明感
g0492	shoes	loafers	unknown	unknown	unknown	unknown	botanical	medium	smooth	米白黑边乐福鞋，植物感细纹和红绿小饰件
g0494	shoes	mary_jane	unknown	unknown	unknown	unknown	solid	medium	glossy	深酒红黑色厚底玛丽珍，轮廓明显偏重
g0497	shoes	knee_boots	unknown	unknown	knee	soft	solid	medium	knit_like	深灰堆褶长靴，厚底，与基础低跟长靴不同
g0498	shoes	loafers	unknown	unknown	unknown	unknown	solid	low	translucent_like	冰蓝乐福鞋，透明感鞋面及细金属横件
g0513	bag	shoulder_bag	unknown	unknown	unknown	structured	solid	low	textured	黑色短肩包，细颗粒纹理、简洁分片
g0524	bag	tote	unknown	unknown	unknown	structured	botanical	medium	woven	白底黑墨植物拼片托特，带红结与珠饰
g0525	bag	shoulder_bag	unknown	unknown	unknown	soft	solid	medium	smooth	米白软肩包，银色拉链与挂件，包口微垂
g0529	bag	shoulder_bag	unknown	unknown	unknown	soft	solid	low	textured	黑色月牙肩包，下角分片，表面细纹
g0561	top	draped_blouse	cowl	long	regular	loose	solid	medium	fluid	黑色垂褶领长袖上衣，表面光滑、衣身宽松
g0588	shoes	loafers	unknown	unknown	unknown	unknown	botanical	medium	smooth	米白黑拼色乐福鞋，红色小结与下垂小珠饰
g0593	bag	drawstring_bag	unknown	unknown	unknown	soft	solid	low	textured	黑色软抽绳肩包，下半粗纹理、肩带完整
g0594	bag	shoulder_bag	unknown	unknown	unknown	soft	solid	medium	translucent_like	冰蓝腋下包，有网纱式覆盖与拉链细节
