group_id	member_tokens	rationale	boundary	source_sheets
dark_notch_cocoon_midcoat	g0137	深灰驳领三扣短中长茧身，肩袖和弧下摆较宽圆	与第7页直长棕大衣g0131不同，保留圆茧和直身两种比例	family-components-07.jpg,family-components-09.jpg
dark_standcollar_zip_shell	g0142	立起短领、拉链、松袖与抽绳底边构成轻防风壳衣观感	不是西装或针织开衫，也不同于第6页无立领轻夹克	family-components-09.jpg
classic_vneck_short_cardigan	g0369	深灰V领排扣、贴袋和针织罗纹边，与第6页同类浅色开衫共享结构	保留衣长和深色质感，不把色彩差异算成新开衫版型	family-components-06.jpg,family-components-09.jpg
peterpan_plain_short_puff_blouse	g0022	大双圆领、短方身和蓬袖袖口为奶白娃娃领短衫	与长花衬衫g0341同有圆领但比例和织物观感不同，分开保留	family-components-09.jpg
romantic_bow_ruffle_knit_top	g0325,g0565	奶白粉色针织、前领细蝴蝶结和袖口下摆荷叶反复出现	g0325胸前横花边、g0565下摆外展更明显，保留装饰位置但不计完全新风格	family-components-09.jpg
floral_peterpan_gathered_blouse	g0341	小花织物圆领长浮摆和松袖，轻柔花衬衫与短方娃娃领衫有明显差别	不按圆领这一项就合并其他轮廓，图案密度与衣长均保留	family-components-09.jpg
wide_boatneck_colorband_knit	g0357	宽船领超宽身针织配粉色袖带及弧摆色带，与收腰蝴蝶结针织不同	保留宽短横向比例和简洁颈口，不合并全部粉白毛衣	family-components-09.jpg
tailored_straight_tapered_ankle	g0164,g0166,g0182	灰米棕普通前褶中缝西裤，腿逐渐收窄，与第4页浅色锥裤体积接近	颜色和前褶小变化不计新款式，和弧形宽臀短裤分开	family-components-04.jpg,family-components-09.jpg
pleated_barrel_chino_cropped	g0404	卡其深前褶撑开臀腿并向短脚口收束，休闲较圆的裤腿明确	与普通西装直锥裤分开，也不宣称与g0165无深褶桶裤同裁片	family-components-09.jpg
plain_regular_pleated_midi_skirt	g0189,g0435,g0579	藏蓝整圈规则压褶及长A摆相似，与第2页灰色g0207共同视觉结构	g0189较细褶，g0435前皮带与g0579侧带不同；保留腰细节但限制同型高频	family-components-02.jpg,family-components-09.jpg
