group_id	member_tokens	rationale	boundary	source_sheets
ivory_satin_wrap_midi	g0188	奶白亮滑斜裹面和柔弧前摆，与哑面窄直裙不同	不因近白轮廓相似合并到普通直裙或米色平纹裹裙	family-components-02.jpg
regular_three_tier_skirt	g0191	深灰规则三层水平接缝和均匀褶量是主要款式语法	与不齐覆层和毛边碎片裙有结构差异，不按所有多层裙归一家族	family-components-02.jpg
plain_flared_midi_skirt	g0198,g0204,g0206	平整腰段逐渐向下展开、无明显外贴层片或整圈压褶，普通A摆相近	保留棕灰绿颜色和织纹差异；不与窄直裙或规则百褶裙合并	family-components-02.jpg
brown_offset_double_tier_skirt	g0203	褐色斜向覆层叠在裙体上，层边倾斜且与普通三段水平层裙不同	不是仅凭棕色判断WABI或归入所有自然纹多层裙	family-components-02.jpg
plain_regular_pleated_midi_skirt	g0207	灰色整圈规则宽褶和清晰腰线，靠压褶而非普通A裁片展开	后续可跨组件对照其他同型百褶裙，本表不等于穷尽跨色候选	family-components-02.jpg
plain_wrap_a_skirt	g0212	米色平纹侧裹长裙、侧腰固定、单一前覆片，无纱与层层接边	与亮滑g0188及收褶大摆g0452保留材质观感和腰部构造差别	family-components-02.jpg
denim_hip_sheer_tier_skirt	g0425	丹宁硬腰臀片与粉黑透明层纱长摆形成强烈拼接，不是普通覆层裙	延续内层覆盖待复核，不因家族对照将资产提升为候选	family-components-02.jpg
cream_wine_bow_full_skirt	g0426	奶白大A外片开出酒红褶层并有对称蝴蝶结，正式体积明确	独立于普通A裙、细褶裙和毛边层片裙，不凭宽轮廓归并	family-components-02.jpg
denim_brown_curved_panel_column	g0427	窄长裙身由牛仔与褐色曲片围成，拼材弧线是主视觉	与普通直裙版面不同，也无外垂多层片，不把纹理差异删掉	family-components-02.jpg
ink_cream_layered_flared_skirt	g0428,g0444	奶白花墨裙体外覆黑灰薄片，长A摆和局部红系带构成近似家族	g0428侧裹斜线、g0444中央展开不同；保留裁片关系，非完全同款	family-components-02.jpg
contrast_utility_pleat_midi	g0429	米灰黑多层宽褶加竖带与工具固定件，结构明显异于素百褶	工具带和黑侧片为视觉事实，不仅是颜色不同	family-components-02.jpg
raw_denim_brown_layered_maxi	g0431,g0443,g0447	洗蓝棕灰多片毛边逐层垂下，形成不齐长裙，共同重复未完成拼片语法	层数、侧袋、抽绳和褶量保留；不是同SKU，但应约束相邻曝光	family-components-02.jpg
natural_tonal_wrap_layer_maxi	g0438,g0582	灰褐橄榄同调粗纹多幅裹片、柔软宽摆和松腰相近	g0438腰系带、g0582弹性褶腰有区别；与蓝棕高对比毛片裙分组	family-components-02.jpg
black_front_panel_tier_maxi	g0449	平整黑前幅下露灰褐黑规则阶层长摆，上简下层次明显	与全幅毛边拼片和普通水平三层裙都保留区别	family-components-02.jpg
beige_ruched_yoke_flared_skirt	g0452	斜腰线与单侧细密收褶带出大A长摆，非单片平整裹裙	褶皱起点和展开量是区分g0212的证据，不只是色差	family-components-02.jpg
khaki_waistpleat_long_a_skirt	g0580	卡其高腰短褶只在腰段展开、下摆宽而长，与通长百褶不同	与g0198等普通A裙存在明显腰褶和长度变化，保留独立款式	family-components-02.jpg
relaxed_rollsleeve_pocket_shirt	g0016,g0324,g0564	米灰色普通尖领单胸袋、宽弧摆与卷袖反复出现，松软宽衫体感近似	g0016布面更粗灰、后两者更奶油；口袋袖卷小变化不计新款式	family-components-03.jpg
standcollar_diagonal_shaped_blouse	g0056	立领暗红扣点、斜襟收腰和大袖为明确结构，与普通直门襟衬衫不同	不能因为白色长袖和相似外轮廓并入基本衬衫	family-components-03.jpg
pointcollar_float_hidden_blouse	g0081	普通尖领隐藏前襟配大松量浮摆与收口袖，柔软罩衫体积突出	与较挺直基础扣衬衫、开领垂坠衫分开，保持松量变化	family-components-03.jpg
classic_pointcollar_pocket_shirt	g0090,g0096,g0102,g0108,g0113,g0114	普通翻尖领、长袖扣衬衫与弧摆的基础结构高度重复，蓝白灰色变化居多	保留胸袋有无、明暗门襟和袖口褶量差异；家族用于曝光，不声称裁片一致	family-components-03.jpg
botanical_classic_pointcollar_shirt	g0083,g0101,g0107,g0119	尖领、单胸袋、长袖弧摆的传统衬衫上换低对比枝叶小花纹，主版型近似	蓝灰粉底色与图案密度不同，不按每种花纹单独计新轮廓	family-components-03.jpg
printed_bandcollar_button_shirt	g0089,g0125	小立领、前排扣和传统长袖衬衫体量近似，植物印花大小不同	区别尖翻领及无全开襟的抽褶罩衫，保留g0089较大枝叶纹	family-components-03.jpg
plain_bandcollar_button_shirt	g0084,g0120	立领前排扣、弧摆与普通袖量构成近似基本款，米白与蓝为配色变体	比植物纹版本更安静但可视为关联款；不宣称完全同版型	family-components-03.jpg
splitneck_gathered_float_blouse	g0087,g0123	开衩小领、肩颈收褶与宽浮摆形成同款式语法，蓝与米灰只是主色变化	与通长纽扣衬衫分开，不把领口开衩当立领全开襟	family-components-03.jpg
open_pointcollar_draped_blouse	g0093,g0117	开领V线、柔软下垂肩袖和浮弧下摆相近，浅蓝与桃米色变体	g0093可见前扣而g0117更隐，保留细节；与挺身基础衬衫分开	family-components-03.jpg
boatneck_plain_loose_blouse	g0099	宽船领、无门襟及中长宽袖，与衬衫类明显不同	不能因奶白柔软外轮廓就和立领或翻领衫合并	family-components-03.jpg
botanical_red_tie_fitted_shirt	g0348	竹枝红花纹、长袖束口红线和侧胸红系绳带来特定装饰，腰段偏合体	与普通小花印花衬衫区分，不凭植物图案就合并所有中式与基础款	family-components-03.jpg
