group_id	member_tokens	rationale	boundary	source_sheets
classic_vneck_short_cardigan	g0017,g0021,g0129	V领前排扣、罗纹边和松袖短针织外搭的主结构重复	保留g0021绞花和粉色、g0129大贴袋及更松体量；不是同针法SKU	family-components-06.jpg
pointcollar_box_wool_jacket	g0132	灰米短方夹克有普通尖领、双翻袋和前扣，短箱形结构明确	区别西装翻驳领及松紧下摆夹克，不能因为浅色短外套统归组	family-components-06.jpg
roundneck_open_short_blazer	g0133	奶白圆领无明显前扣、平整短身与细袋，开口形状清楚	与单扣深V无领西装不同，保留颈部和前襟结构差异	family-components-06.jpg
pointcollar_elastic_blouson	g0136,g0148	奶白普通尖领、松肩袖与弹性底边形成相近短夹克体积	g0136拉链、g0148纽扣不同；不是同款但可约束过密相邻曝光	family-components-06.jpg
collarless_singlebutton_blazer	g0151	粉灰无领深V、单扣和双细翻袋形成简洁西装结构	不合并奶白圆领敞开夹克，后续可跨页对比同V领版型	family-components-06.jpg
classic_roundneck_short_cardigan	g0153	灰色圆领纽扣针织、普通短身和松袖，与V领款差异明确	同是基本开衫也保留领型，不自动与圆领毛呢夹克并组	family-components-06.jpg
roundneck_zip_blouson	g0154	奶白小圆领拉链、松肩和弹性底边构成棒球式轻夹克	有别于尖领哈灵顿式g0136/g0148，保留领型款式差别	family-components-06.jpg
notchlapel_short_pocket_jacket	g0156	奶白小翻驳领、三扣与双大袋、短合体身，西装式细节突出	与普通尖领短方夹克分开，不因两个口袋同样位置就合并	family-components-06.jpg
contrast_collar_utility_blouson	g0372	棕色对比大领、两大工具袋和抽绳底边构成轻工装体积	同为浅色夹克但装饰和材质语汇不同，不能并入素夹克组	family-components-06.jpg
cream_bound_roundneck_woven_jacket	g0373	奶白圆领滚边、盘扣感小扣和双弧贴袋，较宽袖织物外套观感	与软罗纹针织开衫g0153区分，不能仅凭圆领短身合并	family-components-06.jpg
contrast_trim_bow_long_cardigan	g0381	奶白长宽开衫配宽深灰V边、系袖蝴蝶结和破边层次，装饰明确	与普通短V领开衫分开，长度和粗边是实际结构证据	family-components-06.jpg
